File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,LV electricity distribution main,Acidification,119.07511381281466,mol H+-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change,12548.170059211789,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: biogenic,22.836984516437536,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: fossil,12497.33791338468,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: land use and land use change,27.995161310671648,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Ecotoxicity: freshwater,757003.2262736663,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, inorganics",61230.93521505647,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, metals",694544.8720168708,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, organics",1227.419041739745,CTUe
bill_of_materials.csv,LV electricity distribution main,Energy resources: non-renewable,152567.02127586005,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution main,Eutrophication: freshwater,6.739349594504422,kg P-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: marine,17.326511847100107,kg N-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: terrestrial,190.75452043540213,mol N-Eq
bill_of_materials.csv,LV electricity distribution main,Human toxicity: carcinogenic,1.0554577966477647e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, metals",5.719479306964289e-06,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, organics",4.835098659513356e-06,CTUh
bill_of_materials.csv,LV electricity distribution main,Human toxicity: non-carcinogenic,0.0006160961635192561,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, inorganics",6.69804351061691e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, metals",0.0005184039668670792,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, organics",3.2196962896354225e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,Ionising radiation: human health,423.2405492736283,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution main,Land use,83995.37844348812,dimensionless
bill_of_materials.csv,LV electricity distribution main,Material resources: metals/minerals,0.5978856545194068,kg Sb-Eq
bill_of_materials.csv,LV electricity distribution main,Ozone depletion,0.0001231804666399581,kg CFC-11-Eq
bill_of_materials.csv,LV electricity distribution main,Particulate matter formation,0.0011803879218253758,disease incidence
bill_of_materials.csv,LV electricity distribution main,Photochemical oxidant formation: human health,61.918668232257886,kg NMVOC-Eq
bill_of_materials.csv,LV electricity distribution main,Water use,5658.909404782279,m3 world Eq deprived
bill_of_materials.csv,LV electricity distribution secondary,Acidification,5.227336739236763,mol H+-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change,801.8634927615097,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: biogenic,1.0288521168409768,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: fossil,798.9100973833472,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: land use and land use change,1.924543261321557,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Ecotoxicity: freshwater,24901.649878338998,CTUe
