File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,LV electricity distribution main,Acidification,371.7567969144435,mol H+-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change,39175.839173947184,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: biogenic,71.29788872897045,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: fossil,39017.13938263159,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: land use and land use change,87.40190258662098,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Ecotoxicity: freshwater,2363391.3556092796,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, inorganics",191165.18656793793,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, metals",2168394.1225555753,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, organics",3832.04648576919,CTUe
bill_of_materials.csv,LV electricity distribution main,Energy resources: non-renewable,476319.73909721815,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution main,Eutrophication: freshwater,21.04049232720525,kg P-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: marine,54.09399445213794,kg N-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: terrestrial,595.5424877904599,mol N-Eq
bill_of_materials.csv,LV electricity distribution main,Human toxicity: carcinogenic,3.295177280930065e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, metals",1.7856420532319975e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, organics",1.5095352276980665e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,Human toxicity: non-carcinogenic,0.0019234744272530497,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, inorganics",0.00020911533244594217,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, metals",0.0016184758683766719,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, organics",0.00010052007857441738,CTUh
bill_of_materials.csv,LV electricity distribution main,Ionising radiation: human health,1321.372248861463,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution main,Land use,262236.5987812906,dimensionless
bill_of_materials.csv,LV electricity distribution main,Material resources: metals/minerals,1.8666205618298541,kg Sb-Eq
bill_of_materials.csv,LV electricity distribution main,Ozone depletion,0.0003845738564019668,kg CFC-11-Eq
bill_of_materials.csv,LV electricity distribution main,Particulate matter formation,0.003685213634346099,disease incidence
bill_of_materials.csv,LV electricity distribution main,Photochemical oxidant formation: human health,193.3123138342534,kg NMVOC-Eq
bill_of_materials.csv,LV electricity distribution main,Water use,17667.31911470549,m3 world Eq deprived
bill_of_materials.csv,LV electricity distribution secondary,Acidification,30.315945278103374,mol H+-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change,4650.408225014429,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: biogenic,5.966829004776527,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: fossil,4633.280005208553,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: land use and land use change,11.161390801099545,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Ecotoxicity: freshwater,144417.14637967607,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, inorganics",8150.314095472724,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, metals",135812.26252774164,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, organics",454.5697564617557,CTUe
bill_of_materials.csv,LV electricity distribution secondary,Energy resources: non-renewable,53041.81747655358,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: freshwater,1.257335407453278,kg P-Eq
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: marine,5.883933333741405,kg N-Eq
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: terrestrial,62.33033740870503,mol N-Eq
bill_of_materials.csv,LV electricity distribution secondary,Human toxicity: carcinogenic,2.5174645323777324e-06,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, metals",5.304563665420103e-07,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, organics",1.9870081658357213e-06,CTUh
bill_of_materials.csv,LV electricity distribution secondary,Human toxicity: non-carcinogenic,6.251354734470893e-05,CTUh
