File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,LV electricity distribution main,Acidification,328.24970587799226,mol H+-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change,34591.04929110728,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: biogenic,62.95382142103084,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: fossil,34450.92230417762,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: land use and land use change,77.17316550862654,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Ecotoxicity: freshwater,2086801.166225544,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, inorganics",168792.92264689473,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, metals",1914624.665545096,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, organics",3383.5780335551312,CTUe
bill_of_materials.csv,LV electricity distribution main,Energy resources: non-renewable,420575.5363728466,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution main,Eutrophication: freshwater,18.578101262053668,kg P-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: marine,47.76331708271755,kg N-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: terrestrial,525.8455207210523,mol N-Eq
bill_of_materials.csv,LV electricity distribution main,Human toxicity: carcinogenic,2.9095391994408204e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, metals",1.576666475614353e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, organics",1.3328727238264675e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,Human toxicity: non-carcinogenic,0.0016983681811605412,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, inorganics",0.00018464234397241245,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, metals",0.0014290639261332336,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, organics",8.875610748948521e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,Ionising radiation: human health,1166.7306573655967,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution main,Land use,231546.7723384056,dimensionless
bill_of_materials.csv,LV electricity distribution main,Material resources: metals/minerals,1.6481679837247798,kg Sb-Eq
bill_of_materials.csv,LV electricity distribution main,Ozone depletion,0.00033956677134100276,kg CFC-11-Eq
bill_of_materials.csv,LV electricity distribution main,Particulate matter formation,0.0032539291859943185,disease incidence
bill_of_materials.csv,LV electricity distribution main,Photochemical oxidant formation: human health,170.6887693388731,kg NMVOC-Eq
bill_of_materials.csv,LV electricity distribution main,Water use,15599.694077387263,m3 world Eq deprived
bill_of_materials.csv,LV electricity distribution secondary,Acidification,122.77876097432446,mol H+-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change,18834.02792340046,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: biogenic,24.165496587080384,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: fossil,18764.65909501099,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: land use and land use change,45.20333180239065,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Ecotoxicity: freshwater,584885.5489507457,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, inorganics",33008.55233158404,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, metals",550036.0013619537,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, organics",1840.9952572083032,CTUe
bill_of_materials.csv,LV electricity distribution secondary,Energy resources: non-renewable,214817.93062548188,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: freshwater,5.092174498934802,kg P-Eq
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: marine,23.829771354485434,kg N-Eq
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: terrestrial,252.43618590642748,mol N-Eq
bill_of_materials.csv,LV electricity distribution secondary,Human toxicity: carcinogenic,1.019566347830149e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, metals",2.1483339819197844e-06,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, organics",8.0473294963817e-06,CTUh
bill_of_materials.csv,LV electricity distribution secondary,Human toxicity: non-carcinogenic,0.0002531781812073953,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, inorganics",0.00010533184347327838,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, metals",0.00014390451826631396,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, organics",6.069976306344054e-06,CTUh
bill_of_materials.csv,LV electricity distribution secondary,Ionising radiation: human health,375.3648877512309,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution secondary,Land use,92499.47212498002,dimensionless
bill_of_materials.csv,LV electricity distribution secondary,Material resources: metals/minerals,0.05820484646144807,kg Sb-Eq
bill_of_materials.csv,LV electricity distribution secondary,Ozone depletion,0.00016248857377340248,kg CFC-11-Eq
bill_of_materials.csv,LV electricity distribution secondary,Particulate matter formation,0.0017392004520016039,disease incidence
bill_of_materials.csv,LV electricity distribution secondary,Photochemical oxidant formation: human health,82.51757234301846,kg NMVOC-Eq
bill_of_materials.csv,LV electricity distribution secondary,Water use,7262.047143790363,m3 world Eq deprived
bill_of_materials.csv,Low-voltage electricity supply,Acidification,3541.5327282866097,mol H+-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change,125676.84244835569,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change: biogenic,297.6099110340059,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change: fossil,125226.21072028484,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change: land use and land use change,153.02181703683306,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Ecotoxicity: freshwater,31693629.825750027,CTUe
