File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,Geothermal heat supply,Acidification,26294.15316857581,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,4700260.052994652,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,3248.973324858202,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,4695085.648666822,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,1925.4310029717901,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,1439699507.2970703,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",13649221.32127576,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",969251555.9795715,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",456798729.99622476,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,67357982.47333363,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,1208.4561756233286,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,7680.832951000075,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,96256.45190131487,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.0030048216755012985,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.001216751698763399,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.0017880699767379,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.12350238591368465,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.05266829367552287,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.06930919496552573,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.002138988953333333,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,138299.0616949323,kBq U235-Eq
bill_of_materials.csv,Geothermal heat supply,Land use,10057398.068392364,dimensionless
bill_of_materials.csv,Geothermal heat supply,Material resources: metals/minerals,28.18567824883982,kg Sb-Eq
bill_of_materials.csv,Geothermal heat supply,Ozone depletion,0.10297560923311223,kg CFC-11-Eq
bill_of_materials.csv,Geothermal heat supply,Particulate matter formation,0.23942398252172828,disease incidence
bill_of_materials.csv,Geothermal heat supply,Photochemical oxidant formation: human health,28339.137786757026,kg NMVOC-Eq
bill_of_materials.csv,Geothermal heat supply,Water use,1675470.7886198184,m3 world Eq deprived
bill_of_materials.csv,HQ to LQ heat conversion substation,Acidification,11142.578886878087,mol H+-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change,1984294.6133865183,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: biogenic,3447.0728167700654,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: fossil,1978649.1656748736,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: land use and land use change,2198.374894874515,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ecotoxicity: freshwater,114726941.83178295,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, inorganics",23368106.37908683,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, metals",91175571.11651203,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, organics",183264.33618411337,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,Energy resources: non-renewable,22285161.549565725,"MJ, net calorific value"
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: freshwater,1960.6450832015364,kg P-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: marine,2049.3971267865545,kg N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: terrestrial,21432.521419232602,mol N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Human toxicity: carcinogenic,0.002663708101485227,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, metals",0.002077747754839516,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, organics",0.0005859603466457106,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,Human toxicity: non-carcinogenic,0.048438338624193465,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, inorganics",0.007757224567426293,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, metals",0.04018832571624494,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, organics",0.0007151816401918466,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,Ionising radiation: human health,126439.14736408327,kBq U235-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Land use,10718140.169035826,dimensionless
bill_of_materials.csv,HQ to LQ heat conversion substation,Material resources: metals/minerals,54.095714475533526,kg Sb-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ozone depletion,0.014022251761300992,kg CFC-11-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Particulate matter formation,0.1719372229863625,disease incidence
bill_of_materials.csv,HQ to LQ heat conversion substation,Photochemical oxidant formation: human health,6708.6116534930325,kg NMVOC-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Water use,757981.0249477929,m3 world Eq deprived
bill_of_materials.csv,Heat pipe_DN335.0,Acidification,5801.573364544401,mol H+-Eq
bill_of_materials.csv,Heat pipe_DN335.0,Climate change,1604515.871775951,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN335.0,Climate change: biogenic,1309.522169449396,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN335.0,Climate change: fossil,1601653.391144913,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN335.0,Climate change: land use and land use change,1552.9584615886422,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN335.0,Ecotoxicity: freshwater,56438636.99797093,CTUe
bill_of_materials.csv,Heat pipe_DN335.0,"Ecotoxicity: freshwater, inorganics",11709490.722288541,CTUe
bill_of_materials.csv,Heat pipe_DN335.0,"Ecotoxicity: freshwater, metals",43708384.22172067,CTUe
bill_of_materials.csv,Heat pipe_DN335.0,"Ecotoxicity: freshwater, organics",1020762.0539617338,CTUe
bill_of_materials.csv,Heat pipe_DN335.0,Energy resources: non-renewable,20292405.603117798,"MJ, net calorific value"
bill_of_materials.csv,Heat pipe_DN335.0,Eutrophication: freshwater,544.6463973001639,kg P-Eq
bill_of_materials.csv,Heat pipe_DN335.0,Eutrophication: marine,1638.433939202363,kg N-Eq
bill_of_materials.csv,Heat pipe_DN335.0,Eutrophication: terrestrial,15509.001218488682,mol N-Eq
bill_of_materials.csv,Heat pipe_DN335.0,Human toxicity: carcinogenic,0.0014853150874284784,CTUh
bill_of_materials.csv,Heat pipe_DN335.0,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Heat pipe_DN335.0,"Human toxicity: carcinogenic, metals",0.0004784660823546015,CTUh
bill_of_materials.csv,Heat pipe_DN335.0,"Human toxicity: carcinogenic, organics",0.0010068490050738768,CTUh
bill_of_materials.csv,Heat pipe_DN335.0,Human toxicity: non-carcinogenic,0.04127078821940502,CTUh
bill_of_materials.csv,Heat pipe_DN335.0,"Human toxicity: non-carcinogenic, inorganics",0.02212980615658186,CTUh
bill_of_materials.csv,Heat pipe_DN335.0,"Human toxicity: non-carcinogenic, metals",0.018366122183318595,CTUh
bill_of_materials.csv,Heat pipe_DN335.0,"Human toxicity: non-carcinogenic, organics",0.0009797203619416955,CTUh
bill_of_materials.csv,Heat pipe_DN335.0,Ionising radiation: human health,62153.01729685676,kBq U235-Eq
bill_of_materials.csv,Heat pipe_DN335.0,Land use,9350316.95392501,dimensionless
bill_of_materials.csv,Heat pipe_DN335.0,Material resources: metals/minerals,9.86507786802779,kg Sb-Eq
bill_of_materials.csv,Heat pipe_DN335.0,Ozone depletion,0.0214786089471833,kg CFC-11-Eq
bill_of_materials.csv,Heat pipe_DN335.0,Particulate matter formation,0.10830430337410818,disease incidence
bill_of_materials.csv,Heat pipe_DN335.0,Photochemical oxidant formation: human health,5906.680608428152,kg NMVOC-Eq
bill_of_materials.csv,Heat pipe_DN335.0,Water use,748670.0962491465,m3 world Eq deprived
bill_of_materials.csv,Heat pipe_DN340.0,Acidification,1072.8865860153967,mol H+-Eq
bill_of_materials.csv,Heat pipe_DN340.0,Climate change,296690.26340115967,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN340.0,Climate change: biogenic,242.17586629551994,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN340.0,Climate change: fossil,296159.79617323924,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN340.0,Climate change: land use and land use change,288.2913616248985,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN340.0,Ecotoxicity: freshwater,10427128.790034309,CTUe
bill_of_materials.csv,Heat pipe_DN340.0,"Ecotoxicity: freshwater, inorganics",2173117.417237657,CTUe
bill_of_materials.csv,Heat pipe_DN340.0,"Ecotoxicity: freshwater, metals",8063759.481619719,CTUe
